300367,东方网力,4.44,0.07,1.60%,4.37,4.50,4.66,4.42,1345.42万,156.71万,7.12亿,18.64
002511,中顺洁柔,20.10,0.11,0.55%,19.99,19.91,20.27,19.66,1344.17万,13.52万,2.71亿,1.07
002851,麦格米特,26.39,0.19,0.73%,26.20,26.50,26.75,26.10,1336.53万,5.03万,1.33亿,1.52
000400,许继电气,13.38,0.14,1.06%,13.24,13.27,13.58,13.18,1326.58万,14.80万,1.98亿,1.47
002690,美亚光电,46.54,1.37,3.03%,45.17,44.91,47.35,44.66,1269.09万,3.69万,1.72亿,1.12
002429,兆驰股份,5.19,-0.03,-0.57%,5.22,5.26,5.34,5.15,1266.65万,148.80万,7.81亿,3.31
000688,国城矿业,18.20,0.05,0.28%,18.15,18.15,18.34,17.98,1258.82万,3.95万,7158.48万,0.35
002174,游族网络,20.52,0.08,0.39%,20.44,20.61,21.08,20.36,1233.98万,34.57万,7.16亿,5.22
002832,比音勒芬,13.35,0.13,0.98%,13.22,13.21,13.69,13.13,1210.54万,5.64万,7548.72万,1.65
002242,九阳股份,31.69,-0.21,-0.66%,31.90,32.80,32.80,31.42,1184.63万,4.38万,1.40亿,0.57
000729,燕京啤酒,6.50,0.11,1.72%,6.39,6.40,6.52,6.30,1157.14万,18.77万,1.21亿,0.75
000980,众泰汽车,2.16,0.11,5.37%,2.05,2.06,2.22,2.03,1153.39万,44.41万,9292.32万,3.56
000651,格力电器,58.02,-0.07,-0.12%,58.09,58.10,58.49,57.51,1139.72万,45.82万,26.63亿,0.77
300567,精测电子,76.67,0.27,0.35%,76.40,75.41,78.04,75.20,1114.58万,10.93万,8.37亿,6.53
002085,万丰奥威,6.69,0.11,1.67%,6.58,6.58,6.75,6.54,1106.57万,6.64万,4412.17万,0.31
300257,开山股份,12.49,0.19,1.54%,12.30,12.30,12.64,12.16,1094.51万,7.14万,8885.84万,0.87
002675,东诚药业,18.92,0.27,1.45%,18.65,18.65,19.28,18.60,1013.26万,7.12万,1.35亿,1.08
002733,雄韬股份,21.18,0.05,0.24%,21.13,21.15,21.32,20.90,967.88万,6.42万,1.36亿,1.97
300122,智飞生物,82.30,-0.42,-0.51%,82.72,82.98,84.30,81.90,945.47万,8.06万,6.72亿,0.92
000933,神火股份,4.10,0.02,0.49%,4.08,4.09,4.14,4.05,919.86万,29.79万,1.22亿,1.57
300476,胜宏科技,23.35,-0.03,-0.13%,23.38,23.50,23.94,23.15,897.98万,11.07万,2.61亿,1.46
002461,珠江啤酒,8.82,0.00,0.00%,8.82,8.50,8.85,8.47,894.34万,12.32万,1.07亿,0.56
002203,海亮股份,8.94,0.06,0.68%,8.88,8.88,9.00,8.85,859.53万,2.33万,2083.25万,0.13
000898,鞍钢股份,2.51,0.00,0.00%,2.51,2.53,2.55,2.51,850.83万,19.45万,4932.52万,0.24
002385,大北农,8.47,0.00,0.00%,8.47,8.44,8.49,8.32,837.76万,93.69万,7.87亿,3.37
000921,海信家电,12.73,0.33,2.66%,12.40,12.40,12.87,12.30,827.87万,11.05万,1.40亿,1.23
002092,中泰化学,4.73,0.01,0.21%,4.72,4.72,4.77,4.70,804.59万,22.75万,1.08亿,1.06
002044,美年健康,11.89,0.10,0.85%,11.79,11.79,12.01,11.74,799.58万,28.67万,3.40亿,0.83
300233,金城医药,24.20,0.35,1.47%,23.85,23.85,24.56,23.51,797.47万,9.32万,2.24亿,2.54
002727,一心堂,29.81,0.29,0.98%,29.52,29.50,30.05,29.20,752.02万,4.41万,1.31亿,1.46
300194,福安药业,5.29,0.13,2.52%,5.16,5.17,5.42,5.17,749.95万,36.74万,1.95亿,4.12
300676,华大基因,119.31,0.26,0.22%,119.05,119.98,121.98,118.53,673.09万,6.44万,7.73亿,2.63
000016,深康佳A,7.02,-0.04,-0.57%,7.06,7.05,7.25,6.90,659.40万,83.91万,5.92亿,5.26
002034,旺能环境,18.98,0.06,0.32%,18.92,18.67,19.17,18.67,624.49万,2.09万,3963.76万,0.78
002601,龙蟒佰利,17.26,0.24,1.41%,17.02,17.21,17.49,17.11,618.40万,16.54万,2.87亿,1.15
300113,顺网科技,20.05,-0.47,-2.29%,20.52,20.44,20.59,19.96,617.21万,15.31万,3.10亿,3.20
002285,世联行,2.83,0.04,1.43%,2.79,2.80,2.90,2.80,513.05万,23.23万,6599.88万,1.16
000046,泛海控股,3.61,0.01,0.28%,3.60,3.62,3.65,3.59,474.51万,15.87万,5747.70万,0.31
300634,彩讯股份,23.72,0.38,1.63%,23.34,23.38,24.45,23.25,474.41万,8.82万,2.11亿,4.39
000006,深振业A,5.14,0.09,1.78%,5.05,5.00,5.26,4.96,467.31万,30.18万,1.54亿,2.24
000961,中南建设,8.42,0.02,0.24%,8.40,8.47,8.68,8.38,461.18万,45.58万,3.88亿,1.22
300043,星辉娱乐,3.65,0.04,1.11%,3.61,3.62,3.77,3.56,457.61万,33.25万,1.22亿,3.63
000667,美好置业,2.77,-0.01,-0.36%,2.78,2.78,2.79,2.75,457.09万,16.14万,4467.03万,0.66
002537,海联金汇,5.87,0.08,1.38%,5.79,5.80,5.93,5.72,454.74万,25.28万,1.47亿,2.04
002807,江阴银行,4.12,0.02,0.49%,4.10,4.12,4.17,4.10,441.01万,12.39万,5120.42万,0.57
002421,达实智能,4.14,-0.04,-0.96%,4.18,4.19,4.23,4.13,439.47万,54.64万,2.28亿,3.32
002841,视源股份,89.50,-0.99,-1.09%,90.49,90.49,92.00,89.00,435.82万,1.21万,1.09亿,0.31
002410,广联达,57.19,1.19,2.12%,56.00,56.84,57.89,56.50,422.94万,6.53万,3.73亿,0.72
002839,张家港行,5.41,0.00,0.00%,5.41,5.43,5.54,5.40,413.58万,34.03万,1.86亿,2.56
002928,华夏航空,13.74,0.15,1.10%,13.59,13.56,13.94,13.45,407.43万,7.84万,1.08亿,3.84
002370,亚太药业,4.89,0.03,0.62%,4.86,4.86,4.97,4.85,404.52万,12.96万,6373.87万,2.80
000516,国际医学,4.08,0.04,0.99%,4.04,4.05,4.13,4.04,402.65万,12.24万,5006.39万,0.63
002867,周大生,20.27,-0.14,-0.69%,20.41,20.42,20.80,19.95,398.21万,4.23万,8554.38万,0.58
002936,郑州银行,3.86,-0.01,-0.26%,3.87,3.87,3.91,3.86,373.72万,15.29万,5938.25万,1.02
300349,金卡智能,15.51,-0.04,-0.26%,15.55,15.70,15.75,15.42,362.88万,4.26万,6631.41万,1.12
002595,豪迈科技,18.53,0.01,0.05%,18.52,18.65,18.88,18.45,351.34万,3.29万,6145.83万,0.62
300570,太辰光,20.17,-0.25,-1.22%,20.42,20.39,20.60,20.13,347.64万,3.29万,6700.35万,1.71
000627,天茂集团,5.01,-0.08,-1.57%,5.09,5.10,5.15,5.01,326.91万,21.58万,1.10亿,0.50
000710,贝瑞基因,55.55,0.08,0.14%,55.47,55.48,56.47,54.62,305.20万,1.84万,1.02亿,1.30
002191,劲嘉股份,8.86,-0.02,-0.22%,8.88,8.88,8.96,8.82,276.33万,10.80万,9597.12万,0.85
000650,仁和药业,5.90,0.06,1.03%,5.84,5.89,6.05,5.88,261.54万,28.37万,1.69亿,2.40
000656,金科股份,8.04,0.00,0.00%,8.04,8.06,8.20,8.00,237.20万,50.00万,4.05亿,0.95
000423,东阿阿胶,34.84,-0.14,-0.40%,34.98,35.00,35.86,34.75,206.47万,6.06万,2.14亿,0.93
002424,贵州百灵,8.47,0.12,1.44%,8.35,8.41,8.73,8.40,206.20万,18.21万,1.56亿,2.50
